class,cty,hwy
compact,18,29
compact,21,29
compact,,31
compact,21,30
compact,16,26
compact,18,26
compact,18,
compact,18,26
compact,16,25
compact,20,28
compact,19,27
compact,15,25
compact,17,25
compact,17,25
compact,15,25
midsize,15,24
midsize,17,25
midsize,16,23
,14,20
suv,11,15
suv,,20
suv,13,17
,12,17
2seater,16,26
2seater,15,23
2seater,16,26
2seater,15,25
2seater,15,24
suv,14,19
suv,11,14
suv,11,15
suv,14,17
midsize,19,27
midsize,22,30
midsize,18,26
midsize,18,29
midsize,17,26
minivan,18,24
minivan,17,24
minivan,16,22
minivan,16,22
minivan,17,24
minivan,17,24
minivan,11,17
minivan,15,22
minivan,15,21
minivan,16,23
minivan,16,23
pickup,15,19
pickup,14,18
pickup,13,17
pickup,14,17
pickup,14,19
pickup,14,19
pickup,9,12
pickup,11,17
pickup,11,15
suv,13,17
suv,,17
suv,9,12
suv,13,17
suv,11,16
suv,13,18
suv,-50,15
pickup,12,16
pickup,9,12
pickup,13,17
pickup,13,17
pickup,12,16
pickup,9,12
pickup,11,15
pickup,11,16
pickup,13,17
pickup,11,15
,11,17
,11,17
suv,12,18
suv,14,17
suv,15,19
suv,14,17
suv,13,19
suv,13,19
suv,13,17
pickup,14,17
pickup,14,17
pickup,13,16
pickup,13,16
pickup,13,17
pickup,11,15
pickup,13,999
subcompact,18,26
subcompact,18,25
subcompact,17,26
subcompact,,24
subcompact,15,21
subcompact,15,22
subcompact,15,23
subcompact,15,22
subcompact,14,20
subcompact,28,33
subcompact,,32
subcompact,25,32
subcompact,23,29
subcompact,24,32
subcompact,26,34
subcompact,25,36
subcompact,999,36
subcompact,21,29
midsize,18,26
midsize,18,27
midsize,21,30
midsize,21,31
midsize,18,26
midsize,18,26
midsize,19,28
subcompact,19,26
subcompact,19,29
subcompact,20,28
subcompact,20,27
subcompact,17,24
subcompact,16,24
subcompact,17,24
suv,17,22
suv,15,19
suv,15,20
suv,14,99
suv,9,12
suv,14,19
suv,13,18
suv,11,14
suv,11,15
suv,12,18
suv,12,18
suv,11,15
suv,11,17
suv,11,16
suv,12,18
suv,,17
suv,13,19
suv,13,19
suv,13,17
compact,21,29
compact,19,27
midsize,23,31
midsize,23,32
midsize,19,27
midsize,19,26
midsize,18,26
midsize,19,25
midsize,19,25
suv,14,17
suv,15,17
suv,14,20
suv,12,18
midsize,18,26
midsize,16,26
midsize,999,27
midsize,18,28
midsize,16,
suv,18,25
suv,18,24
suv,20,27
suv,19,25
suv,20,26
suv,18,23
subcompact,21,26
subcompact,19,26
subcompact,19,26
subcompact,19,26
compact,20,25
compact,20,27
compact,19,25
compact,20,9999
,15,20
suv,16,20
suv,15,19
suv,15,17
suv,16,20
suv,14,17
midsize,21,29
midsize,21,27
midsize,21,31
midsize,21,31
midsize,18,26
midsize,18,26
midsize,19,28
compact,21,27
compact,21,29
compact,21,31
compact,22,31
compact,18,26
compact,18,26
compact,,27
compact,24,
compact,24,33
compact,26,35
compact,28,37
compact,26,35
suv,11,15
suv,,18
pickup,15,20
pickup,16,20
pickup,17,
pickup,15,17
pickup,15,19
pickup,15,18
pickup,16,20
compact,21,29
compact,19,9999
compact,21,29
compact,22,29
compact,17,
compact,33,44
compact,21,29
compact,19,26
compact,22,29
compact,21,29
compact,21,29
compact,21,29
compact,16,23
compact,17,24
subcompact,35,44
subcompact,29,41
subcompact,21,29
subcompact,19,26
subcompact,20,28
subcompact,20,29
midsize,21,29
midsize,18,29
midsize,19,28
midsize,999,29
midsize,16,26
midsize,18,26
midsize,17,26
